WKT,id,name,alt_name,latitude,longitude
"POINT (111.470425 -0.439856)",61.0,KALIMANTAN BARAT,KALIMANTAN BARAT,-0.439856,111.470425
"POINT (113.4221463 -1.7412291)",62.0,KALIMANTAN TENGAH,KALIMANTAN TENGAH,-1.7412291,113.4221463
"POINT (115.2437675 -3.2068429)",63.0,KALIMANTAN SELATAN,KALIMANTAN SELATAN,-3.2068429,115.2437675
"POINT (116.4177845 0.4149384)",64.0,KALIMANTAN TIMUR,KALIMANTAN TIMUR,0.4149384,116.4177845
"POINT (116.0760362 2.9453544)",65.0,KALIMANTAN UTARA,KALIMANTAN UTARA,2.9453544,116.0760362
