WKT,id,name,alt_name,latitude,longitude
"POINT (117.2962728 -8.6762193)",52.0,NUSA TENGGARA BARAT,NUSA TENGGARA BARAT,-8.6762193,117.2962728
"POINT (121.0933519 -8.706934)",53.0,NUSA TENGGARA TIMUR,NUSA TENGGARA TIMUR,-8.706934,121.0933519
"POINT (130.1129222 -3.2834058)",81.0,MALUKU,MALUKU,-3.2834058,130.1129222
"POINT (127.7522753 1.4978133)",82.0,MALUKU UTARA,MALUKU UTARA,1.4978133,127.7522753
"POINT (133.1442297 -1.3622721)",91.0,PAPUA BARAT,PAPUA BARAT,-1.3622721,133.1442297
"POINT (138.06289 -4.3283239)",94.0,PAPUA,PAPUA,-4.3283239,138.06289
