WKT,id,name,alt_name,latitude,longitude
"POINT (123.8923965 0.5567013)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.5567013,123.8923965
"POINT (121.435085 -1.4851046)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.4851046,121.435085
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (122.1783989 -4.1959059)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.1959059,122.1783989
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.2161115 -2.9364812)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.9364812,119.2161115
