WKT,id,name,alt_name,latitude,longitude
"POINT (106.82273 -6.3143102)",31.0,DKI JAKARTA,DKI JAKARTA,-6.3143102,106.82273
"POINT (107.7173313 -7.2054368)",32.0,JAWA BARAT,JAWA BARAT,-7.2054368,107.7173313
"POINT (110.00441 -7.30324)",33.0,JAWA TENGAH,JAWA TENGAH,-7.30324,110.00441
"POINT (110.4134296 -7.9405643)",34.0,DI YOGYAKARTA,DI YOGYAKARTA,-7.9405643,110.4134296
"POINT (112.2222626 -7.5789185)",35.0,JAWA TIMUR,JAWA TIMUR,-7.5789185,112.2222626
"POINT (106.13756 -6.44538)",36.0,BANTEN,BANTEN,-6.44538,106.13756
"POINT (115.1882967 -8.4422698)",51.0,BALI,BALI,-8.4422698,115.1882967
